sp500,citigroup,microsoft,apple,dowchemical,yahoo
-0.0277431513,-0.0320222015,-0.0092383657,-2.857604e-02,-0.0314161915,-0.020947332
-0.0053304213,-0.0358391429,-0.0147861081,9.413340e-05,-0.0162011345,0.001626968
0.0100815421,0.0092274484,0.0126252978,1.392479e-02,-0.0016116027,-0.012679086
0.0165076412,0.0149358020,0.0289937264,3.770251e-02,0.0245801707,0.033194709
-0.0014105567,-0.0225866361,-0.0084406838,1.071932e-03,-0.0015749796,-0.010205171
-0.0194052804,-0.0079082485,-0.0125814578,-2.494934e-02,-0.0058717035,-0.018676994
-0.0036599867,-0.0071713646,-0.0051634934,8.839546e-03,-0.0123064504,-0.010298752
-0.0028930852,-0.0195827600,-0.0086655777,-3.817823e-03,-0.0041360535,-0.016491367
-0.0087297562,-0.0378109103,-0.0104987944,-2.751538e-02,-0.0027668540,-0.027311235
0.0239905274,0.0080135727,0.0165726157,-7.800439e-03,0.0336013139,0.005178027
-0.0003293660,-0.0073785974,0.0032386416,2.543105e-02,-0.0148450699,0.024655871
0.0085265746,0.0101054048,-0.0101831975,7.605319e-03,0.0137281608,0.011481161
0.0108261384,0.0376161526,0.0260090510,2.568285e-02,0.0137626764,0.014628859
-0.0215507164,-0.0193508517,0.0010603233,5.146894e-03,-0.0175696943,0.001226533
0.0095265120,0.0055379226,-0.0036097724,1.061522e-03,-0.0002243602,0.009960404
-0.0088666178,-0.0119342696,-0.0970985925,-3.564091e-02,-0.0087908331,-0.029767095
-0.0335414452,-0.0251532961,-0.0350662470,5.499268e-02,-0.0261482721,-0.032400992
-0.0042157442,0.0109797985,0.0197121847,3.065868e-02,0.0449871215,-0.06055734
-0.0018286216,-0.0141695871,-0.0390778287,-1.474226e-02,0.0033270906,0.005928015
0.0244080312,0.0162673886,0.0215482573,1.246883e-02,0.0013277572,0.01578736
0.0293701863,0.0240177311,0.0077220368,1.686134e-04,0.0362649245,0.000223783
-0.0086005761,-0.0098685052,0.0057526964,7.640318e-03,-0.0143917920,-0.014648194
0.0097922822,0.0028883860,0.0144741158,7.112107e-03,0.0336130081,-0.011415649
-0.0018562000,0.0122851202,-0.0009427656,-8.456550e-03,0.0124742070,-0.014105911
0.0006554974,0.0014234876,-0.0011796268,6.620601e-03,-0.0028968182,-0.008653989
-0.0060250454,0.0036511368,0.0056496756,1.902925e-02,0.0049607820,0.011676919
-0.0045152172,0.0058544767,-0.0051776378,2.316831e-02,-0.0086974793,-0.002557272
0.0193480793,0.0240639874,0.0166143748,1.257279e-02,0.0220105500,0.022328031
0.0107678461,0.0060731131,0.0179397353,4.890781e-03,0.0058829128,0.011092316
-0.0034331126,0.0095247662,0.0004590600,5.884449e-03,0.0026260250,-0.020239441
-0.0221675956,-0.0052371423,-0.0011480575,6.938238e-03,-0.0032329863,0.002752996
-0.0174013823,-0.0058513796,-0.0006893756,-2.099811e-03,0.0054496288,0.016360215
0.0053523249,0.0128281652,0.0082418108,8.141182e-03,-0.0030239260,-0.005877006
-0.0101716149,-0.0089234304,0.0065901987,2.666825e-02,-0.0008078706,-0.013236204
0.0045956041,0.0112382962,-0.0013599645,-6.260166e-03,0.0064451304,-0.003451804
0.0020109552,0.0036541730,-0.0022706137,-2.590584e-02,0.0008026826,0.023916389
-0.0106592617,0.0061244173,0.0015899971,1.257688e-02,-0.0121090958,0.000450068
-0.0012416076,0.0001907408,-0.0047776920,-1.514238e-02,-0.0002030381,-0.003831899
-0.0056631658,0.0202066042,0.0006839712,4.892185e-03,0.0022313946,-0.003846549
-0.0047819599,0.0044767293,-0.0137680594,2.089412e-03,-0.0020283565,-0.034362934
-0.0050343573,-0.0011173427,-0.0050960690,-6.359133e-03,0.0064764368,0.031638778
-0.0050598427,-0.0020516056,0.0011604834,-1.670947e-02,-0.0138129384,0.003857021
-0.0128794549,-0.0093791649,-0.0175504867,1.501875e-03,-0.0196226756,-0.016438749
-0.0055037761,-0.0020752927,0.0115010854,4.256339e-03,-0.0002085645,-0.010645761
-0.0106246021,-0.0330227852,-0.0193219816,-2.090278e-02,-0.0172563212,-0.007004465
-0.0028524461,0.0212445495,-0.0011903209,-1.839975e-02,-0.0070295856,-0.004226351
0.0023776009,0.0328946239,-0.0231335532,1.791769e-02,0.0144315160,0.010532596
-0.0041644229,-0.0100354214,0.0087379515,-6.934395e-03,-0.0086763856,-0.001864414
0.0105557524,0.0027976826,0.0043404842,1.094402e-02,-0.0004251796,0.014818494
-0.0080550080,0.0027899528,0.0033629439,1.658837e-02,-0.0085415465,0.006414753
0.0233921661,-0.0022312863,0.0190029524,1.119342e-02,0.0193273602,0.019896587
-0.0194749947,-0.0252605415,-0.0049534218,-7.579057e-03,-0.0171851355,0.006915856
0.0015388808,0.0113896208,0.0138548730,-1.262842e-02,0.0119125145,0.00133306
0.0104725197,-0.0094823322,-0.0004665311,1.035130e-02,-0.0012696011,-0.007130155
-0.0107091721,-0.0103429674,0.0009328447,-4.096077e-03,-0.0004235588,-0.006731078
0.0040146984,-0.0108401736,-0.0341427687,-2.647418e-02,-0.0080816405,-0.004964962
-0.0063837740,-0.0037048217,-0.0060481683,6.946165e-03,0.0006403898,0.006090015
-0.0088148014,-0.0037185587,-0.0058408068,-8.000353e-03,0.0280272955,0.014067375
0.0242313789,0.0124709257,-0.0002441389,2.499932e-02,0.0190798408,-0.003331419
-0.0073844044,-0.0023264557,-0.0073511650,-1.547082e-02,-0.0144840183,-0.011410841
-0.0063732133,0.0019390756,0.0014746040,-1.447649e-03,-0.0016687190,-0.007000096
-0.0018961407,0.0046386271,-0.0106160957,8.574798e-03,0.0070730641,0.000453126
0.0097975740,-0.0046386271,0.0307941803,1.606873e-02,0.0090796732,-0.010931651
0.0072566148,-0.0019390756,-0.0004814683,-1.057790e-02,-0.0032921826,-0.001374817
-0.0199052794,0.0071559796,-0.0026522016,-3.259044e-03,-0.0030963303,0.035146601
0.0069943154,0.0046145464,0.0014475412,7.614240e-03,0.0076203279,0.010132312
0.0106927375,0.0057383357,0.0057693016,4.257682e-03,-0.0072069148,-0.009910906
-0.0025746240,0.0043771957,0.0009582468,-1.968888e-03,-0.0024829136,-0.009116239
0.0150029101,0.0013283993,-0.0026374989,-4.345225e-03,0.0115346561,0.016833155
0.0165993714,0.0090617800,0.0145395557,3.793242e-03,0.0258756990,0.00438311
-0.0039815582,0.0151080324,-0.0023690806,-4.823103e-03,-0.0072101381,0.001092755
-0.0091607529,-0.0177425647,-0.0128911056,-1.131846e-02,-0.0018107028,-0.029482308
0.0035597152,0.0024466046,0.0305241194,2.258863e-02,0.0086216209,0.004713262
-0.0041350976,-0.0136262576,-0.0063121299,-5.422163e-03,-0.0088229770,-0.003813757
0.0066537070,0.0117447489,0.0081748036,1.338408e-02,0.0074245143,-0.011529505
0.0009143076,0.0022573860,0.0081084204,8.130466e-03,0.0194026963,-0.00638686
-0.0065325867,-0.0060309037,0.0994129824,4.693225e-03,0.0023501608,0.018590401
0.0004598216,-0.0018922082,0.0033368001,1.802806e-02,0.0068233486,-0.003600341
0.0090384618,0.0041580424,0.0232544955,-1.588116e-02,0.0067770443,-0.000450981
0.0007969404,0.0138604525,-0.0020362008,-1.481507e-02,-0.0040607045,-0.024196593
-0.0057064703,-0.0082181699,-0.0085978397,-2.750477e-02,-0.0118898492,-0.016540832
0.0167975301,0.0082181699,0.0004111036,2.991167e-02,0.0134386841,-0.001410485
0.0029220345,0.0075975578,-0.0086687585,-1.940613e-03,-0.0007740764,-0.011117726
-0.0056268388,-0.0152532807,-0.0133558523,-2.279073e-02,-0.0058253212,-0.017759094
-0.0047511259,-0.0099840476,-0.0281228578,-6.299613e-03,-0.0091949626,0.00867896
-0.0067126270,0.0101811090,0.0090343030,6.166230e-03,-0.0047281915,0.051689257
0.0157430018,0.0132303937,0.0222348905,1.866553e-02,0.0236131460,0.005002307
-0.0169107853,-0.0009259908,-0.0079899596,-1.023876e-02,0.0009639204,-0.011175895
0.0027617672,-0.0042707270,-0.0004223236,-3.568720e-03,-0.0184740545,0.005489538
-0.0053001552,0.0085232925,0.0058960513,1.111635e-03,-0.0043273193,0.012692872
0.0047254611,0.0073529198,0.0226268263,2.306342e-02,0.0100030692,0.012311269
0.0043597752,-0.0066151751,-0.0086581233,-1.396807e-03,0.0052554183,-0.004459338
-0.0057405421,0.0078963986,-0.0060222518,1.096704e-02,-0.0099503125,-0.00875326
0.0016106646,0.0120002153,-0.0025188134,-9.221162e-04,-0.0053081750,-0.079254042
0.0016080867,-0.0079841217,0.0000000000,-7.696503e-05,0.0060922174,0.043220311
0.0009177697,-0.0009113072,-0.0033685163,1.017413e-02,0.0066393470,0.020585878
-0.0079434345,0.0023677437,-0.0110263233,8.714440e-03,-0.0017531882,-0.004359259
-0.0136151244,-0.0133689287,-0.0066317696,-2.227738e-02,-0.0131490888,-0.014825474
-0.0028158939,0.0115480653,0.0216568911,1.849780e-02,0.0113928008,0.01229293
0.0000000000,-0.0058490399,-0.0033662799,-1.970998e-03,0.0072005561,-0.007171829
0.0010568490,-0.0086532377,-0.0125121017,-1.144789e-02,0.0096488730,-0.00302293
-0.0008219277,0.0068183977,0.0078648194,1.993669e-03,0.0036422570,0.009502888
0.0001174900,0.0049464271,-0.0065852803,-4.452876e-03,0.0074350374,-0.004624193
-0.0022341471,0.0164933558,-0.0014930182,1.230299e-03,0.0068142882,0.001389463
-0.0086303759,-0.0054073543,-0.0105139447,-5.857841e-03,0.0007543048,-0.007666387
0.0007121427,0.0163129953,-0.0047567853,-5.503731e-03,-0.0186458874,-0.001633797
0.0067403946,-0.0105461736,-0.0089257010,-6.628925e-03,-0.0129507542,-0.018864106
-0.0031871174,0.0062695800,-0.0017508982,-2.977863e-03,0.0023318721,-0.009086552
0.0074209342,0.0180504004,0.0208114810,1.139308e-02,0.0090813386,0.010276109
-0.0014093065,0.0033266099,-0.0036539901,-2.252761e-03,0.0032644919,-0.026989638
-0.0126546570,-0.0017494537,-0.0101721033,-1.110426e-02,-0.0061538629,-0.01006514
-0.0035769138,-0.0080872331,-0.0107163630,-1.967811e-03,0.0003857458,-0.001481432
0.0114015393,0.0073865582,0.0076662683,5.343409e-03,0.0139782000,0.004191795
0.0005903189,-0.0093301960,0.0030500947,-2.353832e-03,0.0143479490,0.007843178
0.0088126970,0.0038834515,0.0161833424,4.545775e-03,0.0044885337,-0.001221424
-0.0031636779,-0.0093814116,-0.0133594516,-1.005981e-02,-0.0058014860,-0.009825724
-0.0004695440,0.0127232878,0.0028160068,7.946250e-03,0.0029985018,0.005416114
-0.0011747943,0.0076963570,-0.0069459649,-4.555480e-03,0.0024297132,-0.001966037
-0.0045949997,-0.0128015690,-0.0058984586,8.466010e-03,-0.0088123091,0.007108671
-0.0088963252,-0.0083297201,0.0002191382,-4.772912e-03,0.0022573814,0.003170372
-0.0008343700,0.0026659871,-0.0085800472,-5.899724e-03,-0.0024652037,-0.024899573
-0.0124791778,-0.0262557608,-0.0198600497,-1.767000e-02,-0.0363464953,-0.029127068
0.0045777386,0.0065383554,-0.0049705877,7.201197e-03,0.0074538828,0.009718772
-0.0100259858,0.0079336614,0.0067720217,9.284661e-03,0.0042902006,0.001017578
0.0093045955,-0.0055830977,-0.0011254746,-1.264586e-03,-0.0001945814,0.001270461
-0.0073640802,-0.0052512189,-0.0002253084,-3.486007e-03,-0.0158905152,-0.019746762
0.0041113044,-0.0105859878,-0.0020295427,-2.463324e-03,0.0053249581,-0.009890789
-0.0109198024,-0.0316895309,-0.0013552652,-2.513629e-02,-0.0263068289,-0.02650566
-0.0045241064,0.0170879999,0.0063091585,-2.060739e-02,0.0148328698,0.010155111
0.0075693601,0.0157018662,0.0020195235,2.638328e-02,0.0226232084,0.008208626
0.0024295075,0.0178024481,0.0206330040,1.912170e-02,0.0102564786,0.021910111
0.0083369266,0.0066397539,0.0017551237,-3.979987e-04,0.0209571687,-0.003359533
-0.0042201593,0.0097891629,0.0030641137,9.586878e-03,-0.0178814414,-0.006492686
0.0018108466,0.0370316329,0.0194769505,1.323793e-02,0.0024921205,0.01371477
-0.0036249783,0.0027271027,-0.0008576508,8.600376e-03,-0.0205036379,0.019595995
-0.0103425904,0.0017006595,0.0064143780,1.872508e-02,-0.0127840969,-0.003534439
-0.0012238219,0.0042390980,0.0076433527,-1.004503e-02,-0.0083483293,0.004793727
0.0015906701,0.0207643387,-0.0374962678,-4.321491e-02,-0.0019979690,-0.012409884
-0.0079789446,-0.0078197177,0.0124387753,-4.792515e-04,-0.0458345684,-0.000764895
-0.0148996756,-0.0197357854,-0.0036936859,-5.287230e-03,-0.0381994062,-0.009223766
-0.0085427689,-0.0126866421,-0.0129260084,-1.399306e-02,-0.0074236095,-0.026341281
0.0398222758,0.0070489497,-0.0002204956,4.956345e-03,0.0221075390,-0.00317626
0.0079700369,0.0093785105,0.0207363230,-3.165970e-03,0.0165819887,-0.001326516
-0.0015648211,0.0001699202,0.0126651776,-5.053767e-03,-0.0002108958,-0.006658701
-0.0468585632,-0.0071587493,-0.0038469821,-8.782420e-03,-0.0076206315,-0.02024634
-0.0146248061,-0.0003421728,0.0023527114,-2.386032e-02,-0.0128317105,0.000545284
-0.0114669784,0.0005132673,0.0154746001,-3.260974e-02,0.0049382756,0.01165167
0.0000000000,0.0046071234,0.0008410604,6.607591e-03,0.0093797809,0.003496064
0.0118512116,-0.0109553138,-0.0203829386,2.173737e-03,-0.0113092435,-0.021436203
-0.0162667498,-0.0032755652,0.0025707489,3.381745e-03,-0.0238882027,0.005743186
0.0246830547,0.0142308790,0.0125440244,3.571205e-02,0.0247462163,0.013004898
-0.0068163104,-0.0189041891,-0.0196294405,-5.344099e-02,-0.0293722486,-0.030611928
0.0166372281,-0.0127456985,0.0070854161,1.530218e-02,0.0090120229,-0.043682412
-0.0017784502,0.0073530096,-0.0002140049,-7.812530e-04,-0.0161026675,0.040903116
-0.0036940440,0.0045248593,0.0057612473,7.009659e-03,-0.0015578173,0.008590935
0.0052185718,0.0031206858,0.0067854229,1.029526e-02,0.0126149611,-0.003870726
-0.0111062032,-0.0038154922,0.0055155190,-5.649284e-03,-0.0159613489,-0.011422301
-0.0216708473,-0.0096028673,-0.0140607271,-1.287217e-02,-0.0139515905,-0.014108587
-0.0220168490,-0.0297359743,-0.0205924926,-2.073341e-02,-0.0104785149,-0.031464597
-0.0332682693,-0.0317662444,-0.0583959481,-6.311328e-02,-0.0243377229,-0.034913229
-0.0484297099,-0.0627490595,-0.0328052726,-2.527902e-02,-0.0547322425,-0.050446593
-0.0001455654,-0.0091798486,-0.0294604100,5.994365e-03,-0.0240794044,0.013640212
0.0536918309,0.0469937283,0.0538720726,5.577048e-02,0.0412788673,0.02427757
0.0318995313,0.0219456409,0.0274812809,2.902136e-02,0.0602662978,0.035345743
0.0029349117,-0.0029985031,0.0006831020,3.271323e-03,0.0091324985,-0.016460046
0.0022619758,0.0037467450,-0.0093768387,-4.689226e-03,-0.0054695089,-0.027533002
-0.0429063491,-0.0486593026,-0.0398459369,-4.572641e-02,-0.0491786858,-0.020050859
0.0158285864,0.0157759825,0.0361626935,4.199468e-02,0.0173710433,0.005365328
0.0076180096,0.0007726679,0.0032235553,-1.769157e-02,0.0103263600,0.023947684
-0.0181885508,-0.0234431717,-0.0206719479,-1.001653e-02,-0.0176662231,-0.029946124
0.0142507278,0.0207363065,0.0295975209,2.744103e-02,0.0466603983,-0.021767825
-0.0206192848,-0.0150202959,-0.0188598191,-1.941980e-02,-0.0068274995,0.019866081
0.0071962195,0.0037273017,0.0050950079,2.173216e-02,-0.0006853931,-0.01180802
0.0023415215,0.0005872367,0.0043793625,1.446361e-02,0.0004569408,0.008948606
-0.0027552745,-0.0023510784,-0.0101711171,9.585280e-03,-0.0161181626,-0.03595529
0.0050912104,0.0198103196,0.0216050342,8.376933e-03,0.0122276034,0.023469167
0.0195711947,0.0112822690,0.0072496883,1.117412e-03,0.0309314344,0.011531165
0.0021510654,-0.0180357528,-0.0011292933,-2.162205e-02,-0.0170407157,-0.015081306
-0.0241958108,-0.0266839645,-0.0175543122,-4.134241e-03,-0.0207936260,-0.006161849
0.0097214333,0.0083168395,0.0143854801,1.539435e-02,0.0162605075,0.013891356
-0.0088962750,-0.0065288188,-0.0047721796,-1.583513e-02,-0.0095869714,-0.025013485
-0.0060672312,-0.0051741812,-0.0006836638,8.080126e-03,-0.0236724250,-0.021949667
0.0059298270,-0.0199502430,0.0009113927,5.930602e-03,-0.0021158994,-0.013541168
0.0068512178,0.0284930787,0.0006829465,-2.524937e-03,-0.0040090134,-0.007183236
-0.0086403253,-0.0305306105,-0.0149033383,-1.998743e-02,-0.0459065089,-0.053952764
0.0050835159,-0.0006120369,0.0034589524,-3.052160e-02,0.0134030713,0.023631605
0.0187352473,0.0123721486,0.0187006501,1.130579e-02,0.0443659983,0.022740179
-0.0039081198,0.0056281351,0.0078767691,-6.549063e-03,0.0135864837,0
0.0242775650,-0.0002004408,0.0212915451,7.274040e-03,0.0336300988,0.060400746
0.0121817105,0.0253378356,0.0229945385,3.617311e-03,0.0409929615,0.004548449
0.0139627499,-0.0019565252,0.0025701213,4.772839e-03,0.0164903689,0.003559266
0.0166787009,0.0050790883,0.0010689133,-4.772839e-03,0.0086708858,0.028969143
0.0104252805,0.0064096950,0.0137933703,-1.162170e-02,0.0062972328,0.015566877
-0.0096679331,-0.0052412234,-0.0071912506,2.364521e-02,-0.0149681186,0.004623248
0.0005045621,-0.0019482185,-0.0023377009,-4.648718e-03,-0.0102478027,0.010400858
-0.0017670023,-0.0013659872,-0.0023431785,1.701084e-03,-0.0019331927,-0.015951289
0.0125535145,-0.0096144756,-0.0044886123,-1.423450e-02,0.0128179818,-0.007760399
0.0163329488,0.0434054046,0.0070445008,1.486047e-02,0.0099272365,0.042403791
0.0121982464,-0.0053000697,0.0105798652,-7.357595e-03,0.0008402827,-0.003290983
-0.0182302195,0.0032212633,0.0023126357,6.194779e-03,-0.0048415994,0.003888176
-0.0019774594,-0.0003784487,0.0031450393,1.809356e-02,0.0063104794,-0.020202646
-0.0077000241,-0.0196852597,-0.0120039394,-8.785875e-05,-0.0044131287,-0.053492061
0.0328662443,0.0134203884,0.0174318814,1.517955e-02,0.0501131193,0.017519129
0.0010852329,0.0212914501,0.0960102690,3.052502e-02,0.0079809224,0.046275932
-0.0214381204,-0.0099298049,0.0257669286,-3.243162e-02,0.0025801619,0.006910167
-0.0016019277,-0.0094590185,-0.0103762421,-6.352505e-03,0.0047458515,0.026589365
0.0145684481,0.0395057702,0.0053868501,4.037837e-02,0.0133257039,0.025616598
-0.0006078145,-0.0188301920,-0.0115521807,1.050888e-02,-0.0091913823,-0.003986338
0.0061828898,-0.0091735504,-0.0135851469,-8.582310e-03,0.0150143645,0.016131665
0.0302368167,0.0123366861,0.0113337596,1.396067e-02,-0.0015494491,-0.009874506
0.0182425280,0.0061116611,0.0169479803,1.140525e-02,0.0075311535,-0.015716826
-0.0100677292,-0.0061116611,0.0046061683,-4.661246e-03,-0.0116100060,0.010030146
-0.0137013083,0.0059270251,-0.0003677145,-4.620430e-03,0.0044664551,0.001424676
-0.0040169758,0.0312695445,0.0098810796,1.157115e-03,0.0044465945,-0.026545067
-0.0216075334,-0.0028678919,-0.0139349072,-4.055777e-03,-0.0027042699,-0.015321484
0.0048691809,0.0016142011,-0.0120741186,-3.202433e-02,0.0001933774,0.009162233
-0.0089040734,-0.0162604781,0.0026129737,-5.668135e-03,-0.0001933774,-0.018109474
-0.0274500220,-0.0265796799,-0.0061699997,-3.364531e-03,-0.0248715529,-0.004503866
-0.0166343064,-0.0054394070,-0.0090430110,-2.964354e-02,0.0139807233,-0.031797268
0.0352238080,0.0097324495,0.0174472120,1.624620e-02,0.0099232597,0.023335477
-0.0116873554,-0.0037319774,-0.0082722370,-4.300687e-03,0.0000000000,-0.002735148
0.0097075961,0.0274747083,0.0164766243,3.117404e-02,0.0288160129,0.003645174
-0.0054644300,0.0014540499,0.0016699240,1.262352e-02,0.0030052664,-0.010669176
-0.0063714611,-0.0056461530,0.0046240738,4.368327e-03,0.0000000000,0.014603241
0.0061223073,-0.0086215483,0.0000000000,-1.307762e-02,-0.0060195916,0.007522226
0.0197342271,-0.0018439748,0.0011066285,9.550824e-03,0.0071442568,-0.012062933
-0.0077239141,-0.0018473813,-0.0103762576,-7.175740e-03,-0.0277321222,0.006049656
-0.0002461374,0.0024009178,0.0044601714,-1.865684e-03,0.0017319307,-0.006656636
0.0052796531,-0.0022160429,0.0077576739,4.150666e-03,0.0023046449,0.026068952
0.0028125424,0.0144996749,0.0158806492,-8.148122e-03,0.0244445625,-0.002962147
-0.0289910856,-0.0135757377,-0.0001811425,-9.074611e-03,-0.0213800081,0.055954703
-0.0144342682,-0.0117047578,-0.0184631711,-9.331344e-03,-0.0082573790,-0.037438348
0.0057226144,0.0290996951,0.0310623423,3.270583e-02,0.0275761680,0.016462466
-0.0264694555,-0.0126040243,-0.0017901761,-6.320875e-03,-0.0243035152,-0.006610169
-0.0286621534,-0.0187407358,-0.0003584312,-4.227751e-04,-0.0219574990,0.004889928
0.0133104628,-0.0109228479,-0.0146251709,-2.232293e-02,0.1126618856,-0.012996457
0.0007930918,-0.0030343393,0.0052608017,4.745642e-03,-0.0368293502,0.006663765
-0.0179969722,-0.0296860849,-0.0221357168,-2.607514e-02,-0.0284467040,-0.050943824
0.0224788679,-0.0001957147,0.0197808301,-6.204020e-03,-0.0397529541,-0.00977107
0.0437481595,0.0274095977,0.0010875729,-1.785046e-02,-0.0141373093,0.013410716
-0.0035313326,0.0259364548,0.0167074813,7.663551e-03,0.0029618282,0.022452673
-0.0151489412,-0.0198620405,-0.0076902842,-2.142414e-02,-0.0093097860,-0.016415799
-0.0087606904,-0.0313336695,-0.0285915789,-2.744234e-02,-0.0124150514,-0.008461791
-0.0002587835,0.0112622844,0.0128489409,1.218616e-02,0.0266417518,0.000606796
0.0050351736,0.0042388773,0.0094391067,-9.321286e-04,0.0103445618,0.036335087
0.0321872866,0.0118503572,0.0084555881,1.278740e-02,0.0198025871,0.007575852
-0.0107824604,0.0015188491,-0.0026908604,-5.354536e-03,-0.0041968197,-0.009918401
-0.0074651383,-0.0062803160,0.0050170932,-1.126378e-02,-0.0015305574,-0.015064618
0.0053199102,0.0113896148,0.0106667389,1.781452e-02,0.0195109632,0.013010326
-0.0133530663,-0.0129181174,-0.0042530335,-1.314466e-02,-0.0216380154,-0.01987907
