BUDAPEST;BARANYA;BACS;BEKES;BORSOD;CSONGRAD;FEJER;GYOR;HAJDU;HEVES
168;79;30;173;169;42;136;120;162;36
157;60;30;92;200;53;51;70;84;28
96;44;31;86;93;30;93;84;191;51
163;49;43;126;46;39;52;114;107;42
122;78;53;87;103;34;95;131;172;40
174;76;77;152;189;26;74;181;157;44
153;103;54;192;148;65;100;118;129;40
115;74;64;174;140;56;111;175;138;60
119;86;57;171;90;65;118;105;194;60
114;81;129;217;167;64;93;154;119;34
127;59;81;243;99;81;72;107;117;57
135;74;51;271;215;48;115;148;171;21
116;63;98;119;51;48;51;92;76;41
132;83;59;130;152;54;78;128;207;42
129;53;84;111;103;41;58;91;123;35
113;74;62;101;84;66;83;111;134;70
114;50;120;126;111;48;77;119;157;50
98;66;81;86;48;40;59;131;111;51
140;81;103;116;129;51;89;146;65;104
120;46;86;94;135;25;93;123;99;96
173;99;125;139;84;37;84;122;252;104
135;62;145;85;93;27;75;123;135;103
143;98;129;100;104;48;73;128;95;62
139;30;94;54;61;30;56;79;161;83
155;56;94;56;147;24;77;93;150;47
98;40;153;32;85;13;31;62;40;42
87;18;38;26;69;32;33;66;106;40
110;15;67;13;36;20;24;41;49;18
70;12;11;12;29;8;13;35;28;25
43;12;7;10;17;6;13;16;18;12
37;4;21;1;6;6;9;9;18;5
30;4;6;8;1;6;1;1;5;5
21;1;1;1;4;3;2;12;8;5
22;0;0;6;5;0;4;8;3;5
15;1;2;1;2;3;1;7;6;2
11;3;9;2;19;3;1;6;1;2
7;1;1;0;1;1;2;2;5;5
12;3;6;5;19;3;0;1;5;1
5;2;3;1;28;1;4;2;3;3
17;4;6;10;34;1;10;1;21;7
11;3;5;7;60;0;16;5;5;7
27;8;15;7;46;8;25;6;32;27
23;9;26;19;60;18;25;8;36;11
30;15;33;4;12;12;30;18;20;21
48;12;35;11;100;19;13;20;25;23
37;21;58;5;51;9;18;19;14;20
32;9;36;14;45;24;15;27;12;21
49;13;65;13;81;16;28;27;27;33
67;28;40;4;40;28;22;34;27;15
106;32;77;6;91;37;30;38;11;25
83;24;44;17;75;9;17;25;36;35
114;33;21;8;50;3;18;35;55;25
129;42;60;20;89;48;36;47;58;32
189;56;46;15;92;100;27;31;51;28
79;8;29;7;50;26;27;28;39;13
163;34;41;15;103;44;15;22;64;33
110;35;31;9;68;48;29;35;43;19
158;23;42;23;119;40;15;42;81;21
182;25;70;16;108;121;22;59;40;10
136;50;48;38;119;102;42;60;69;34
207;51;52;16;112;85;44;82;95;19
251;58;53;32;89;118;38;78;44;24
141;62;59;40;61;85;42;33;50;30
193;78;109;35;82;91;44;87;48;50
169;48;69;26;68;131;58;49;56;12
141;66;97;41;68;91;56;59;35;18
193;30;55;41;62;152;64;52;35;28
359;57;75;75;23;108;29;71;18;16
268;139;97;44;97;165;103;76;34;23
168;56;86;52;44;107;26;65;25;37
338;68;59;31;44;82;57;68;32;25
186;38;49;39;49;68;39;54;37;30
266;72;34;14;22;149;66;69;34;22
240;78;118;106;59;109;26;51;25;34
162;60;55;23;15;118;30;85;44;28
264;60;80;47;15;99;47;70;61;44
133;51;65;23;65;51;32;66;54;26
201;63;56;43;8;26;39;63;30;43
236;70;25;5;50;27;22;118;72;19
111;21;25;6;28;32;8;24;17;11
76;54;16;12;17;3;6;29;22;6
52;19;7;4;8;16;2;23;4;6
30;5;3;4;4;11;0;12;14;2
30;16;1;4;6;9;4;4;13;3
74;1;4;4;5;1;1;2;1;4
45;5;0;8;3;2;2;2;2;1
41;1;0;2;2;6;2;2;2;4
20;5;2;4;1;5;2;1;1;3
15;3;1;5;4;0;0;1;3;4
11;7;0;1;3;3;6;3;3;2
10;3;4;5;12;1;2;7;8;9
9;6;3;11;11;9;6;5;7;2
35;1;2;3;16;4;0;9;16;11
20;4;9;6;24;11;7;7;16;13
19;3;10;7;16;19;25;8;31;7
51;9;18;8;6;7;20;11;46;25
53;16;19;21;39;20;37;9;22;28
77;15;39;18;33;17;24;12;42;36
62;24;14;20;39;18;50;13;16;56
93;17;26;25;10;7;61;31;57;54
78;24;28;24;37;39;101;31;33;50
82;52;10;34;22;31;79;35;44;68
84;53;44;33;31;11;40;41;36;105
58;21;24;46;15;30;43;35;32;82
114;39;24;76;25;28;97;65;71;138
145;63;56;35;61;98;66;59;65;210
93;38;46;93;160;21;26;56;55;103
129;50;46;125;44;38;116;67;40;151
114;55;55;155;71;48;54;66;45;110
86;49;39;75;125;22;36;58;63;126
127;58;73;114;52;26;36;74;26;116
106;62;37;117;144;89;90;87;85;147
211;79;40;87;96;40;49;71;50;150
229;53;77;86;107;67;93;116;39;173
145;65;22;64;110;25;31;63;56;74
210;109;89;140;72;105;88;128;66;184
267;90;61;163;96;89;85;107;94;111
166;68;69;66;138;21;66;90;83;86
168;89;59;58;114;77;57;92;44;111
350;121;63;84;284;86;78;106;80;146
224;41;60;111;157;29;72;94;69;85
136;60;66;23;88;46;20;60;15;18
278;137;91;53;23;70;59;110;129;142
161;118;145;61;93;103;46;123;76;67
385;141;75;87;174;90;63;108;119;101
230;38;91;76;82;30;36;113;113;40
284;116;79;62;161;58;61;56;150;92
210;75;65;80;129;47;13;57;120;40
125;73;47;18;34;61;13;61;75;25
104;34;67;16;68;39;29;49;73;15
140;25;23;29;80;21;10;24;47;15
99;21;16;27;33;3;6;27;33;14
35;8;19;90;33;5;5;7;14;2
14;17;19;2;30;15;3;5;9;9
34;9;6;3;14;14;0;4;13;2
7;4;5;2;7;3;0;33;2;1
7;1;6;0;21;2;2;7;4;6
4;1;1;3;4;1;0;4;4;0
4;1;2;1;8;1;2;6;4;0
10;4;4;2;14;0;3;2;1;3
6;1;2;2;3;0;3;3;1;3
6;4;2;1;5;0;5;3;3;3
12;11;4;2;8;6;9;5;6;1
20;5;6;11;11;2;12;4;11;2
14;13;12;12;38;6;16;13;15;1
33;10;20;19;50;6;13;22;33;3
20;14;34;13;20;7;6;12;42;1
25;9;9;20;25;0;4;6;37;4
93;20;48;37;63;9;26;30;58;1
72;22;34;41;49;10;25;22;63;1
54;21;29;37;70;1;17;32;34;7
175;50;40;37;74;24;44;27;67;37
126;34;36;33;54;10;46;35;82;23
60;27;52;30;51;2;71;42;155;27
193;36;38;60;82;4;40;86;96;12
68;15;31;3;34;2;59;43;106;23
183;41;57;138;126;7;42;32;22;11
156;68;34;86;143;15;124;68;22;46
479;76;95;57;202;31;76;137;214;73
143;50;71;94;209;11;37;33;80;15
193;20;48;129;61;15;55;43;73;16
105;24;18;50;104;27;43;47;38;7
136;33;17;12;62;20;73;41;39;35
91;39;52;9;66;15;102;49;114;37
150;46;26;8;76;26;105;35;48;37
82;42;70;21;85;26;73;69;71;18
64;50;32;105;78;18;84;53;40;20
100;31;50;34;55;31;84;150;85;17
95;78;18;18;127;15;104;87;52;27
136;64;44;71;64;48;130;160;93;44
80;78;65;37;42;8;122;102;47;51
122;42;51;58;119;41;101;73;75;23
117;60;134;47;101;90;164;106;62;55
84;19;18;31;36;14;49;40;49;20
133;93;69;57;108;41;123;97;69;97
62;63;111;35;64;4;55;49;59;26
211;103;70;59;91;109;98;98;86;110
143;77;81;24;55;89;134;68;130;76
128;145;34;66;127;53;63;74;92;49
105;96;51;12;70;23;78;85;112;24
140;69;31;30;56;43;43;40;68;21
51;35;34;11;69;43;45;43;53;29
70;68;15;0;21;32;30;28;51;5
46;14;17;18;13;11;16;16;53;14
17;8;9;13;36;16;8;23;41;8
21;17;10;7;18;11;3;12;4;7
51;4;5;0;8;9;14;17;5;7
22;2;7;2;11;1;4;12;4;3
11;1;5;6;13;1;5;8;5;2
3;0;1;1;4;1;1;4;1;2
10;2;2;1;6;1;0;5;0;1
4;1;2;4;2;1;2;1;2;2
3;0;8;2;4;0;1;0;3;0
9;0;5;1;6;6;1;6;1;1
14;1;9;3;7;3;2;0;5;1
12;4;9;0;21;5;1;2;1;4
22;2;34;10;33;25;4;9;8;9
43;4;20;16;53;17;15;13;9;14
27;3;0;3;3;17;6;17;5;9
67;7;72;11;41;17;8;19;13;6
78;9;25;4;45;16;5;33;15;9
61;13;19;24;52;22;4;22;24;6
62;8;35;4;39;32;8;35;16;3
40;29;17;34;56;27;6;41;14;38
98;17;23;19;34;19;9;55;28;13
110;20;14;42;108;14;17;54;26;29
142;42;20;37;65;49;14;78;40;27
53;20;3;20;14;13;2;29;14;13
39;18;1;8;32;0;2;67;28;13
304;42;58;57;69;57;18;136;81;36
300;23;66;44;355;79;18;68;62;36
115;49;40;9;112;31;13;51;21;22
176;62;44;53;100;46;5;56;67;48
176;41;25;23;71;70;14;44;83;30
157;57;42;25;64;67;11;73;78;51
188;47;64;57;74;77;8;45;97;49
128;94;55;75;71;42;34;79;117;79
165;73;46;35;97;65;3;50;119;52
129;59;51;64;125;45;13;68;50;51
197;52;38;65;67;87;16;68;92;49
129;22;46;34;65;148;34;85;102;49
217;113;41;29;55;199;31;35;88;95
109;45;53;16;74;102;54;124;89;19
212;68;42;39;219;111;37;34;71;53
265;25;152;74;156;173;61;129;127;119
149;46;30;38;73;52;22;42;40;53
143;70;37;59;96;108;45;90;135;54
165;39;72;56;114;146;35;69;118;69
198;47;46;68;69;38;49;48;149;32
197;20;70;47;123;93;48;51;162;38
211;45;50;46;99;48;57;53;148;7
177;22;40;55;76;115;28;42;262;86
168;55;52;59;69;42;21;57;127;53
110;41;20;39;36;62;36;48;146;46
65;17;42;15;20;36;12;52;84;53
104;26;0;14;87;62;11;17;117;36
85;6;25;21;35;54;12;11;86;13
54;3;23;4;6;34;3;12;17;21
18;24;4;19;21;4;13;7;12;8
16;10;5;3;6;4;0;5;6;9
14;2;0;4;13;3;5;0;32;3
7;1;0;3;4;3;0;6;0;4
27;1;4;3;2;1;1;1;0;5
16;1;0;5;2;6;1;3;0;1
11;2;0;1;6;3;3;0;0;4
2;0;2;2;6;1;3;4;1;1
4;0;1;1;6;4;6;5;3;2
7;2;6;0;1;15;4;6;3;0
15;5;9;1;10;7;10;9;6;3
30;6;3;3;3;33;10;6;10;0
31;10;10;3;11;31;10;6;8;6
25;4;12;13;9;11;10;14;32;12
50;1;22;24;31;36;23;8;40;11
37;3;4;10;22;10;17;10;43;16
59;8;9;13;16;44;15;16;21;2
58;9;25;14;37;21;46;28;26;43
42;31;17;20;34;8;19;40;48;10
91;38;43;11;69;21;38;33;39;26
86;46;39;12;17;17;21;28;64;10
41;50;3;11;28;4;15;6;19;8
47;28;19;13;55;8;34;18;38;31
166;37;50;6;43;53;83;31;95;30
113;23;52;11;28;23;33;21;44;24
62;56;20;11;33;29;40;21;46;18
82;103;52;3;42;29;48;38;77;33
56;50;26;12;59;4;46;43;31;40
46;47;82;12;42;17;34;31;46;35
48;127;87;9;93;24;31;46;63;47
124;83;102;13;63;32;37;62;76;20
74;101;118;15;35;12;24;38;40;41
116;68;86;13;54;17;61;95;109;26
120;135;96;17;37;52;51;64;113;28
101;123;110;16;145;41;72;72;86;25
121;112;88;11;85;55;63;93;108;24
160;80;108;17;52;11;34;75;54;15
199;140;96;28;105;61;101;78;94;17
147;106;238;17;79;39;75;84;81;12
130;116;117;18;40;19;55;70;74;5
175;96;167;4;82;28;78;81;71;42
156;115;62;27;78;58;56;59;93;11
185;102;160;25;65;17;65;85;68;42
123;17;83;17;54;2;33;59;46;18
151;84;135;11;68;49;99;97;68;35
150;74;94;8;48;36;46;70;49;28
169;66;57;25;44;33;77;104;21;24
154;42;31;17;70;32;72;42;61;50
68;25;43;12;24;29;36;35;23;7
93;44;48;21;51;13;29;54;21;20
74;34;16;8;26;11;49;48;7;12
56;16;6;4;8;3;13;24;12;1
35;19;6;2;12;16;3;21;9;4
24;3;3;2;6;6;3;10;4;0
11;2;4;0;7;4;10;5;3;0
35;7;4;2;5;15;4;1;3;1
11;1;0;5;13;0;1;0;0;2
22;0;2;1;6;1;2;1;1;0
8;1;1;1;1;0;1;0;3;0
5;2;1;1;4;2;3;0;3;2
23;0;13;2;2;1;2;2;0;1
27;10;4;3;1;8;0;2;2;2
33;5;10;5;4;4;2;1;3;8
74;9;31;5;8;10;1;2;1;10
57;23;3;18;9;5;5;4;1;3
95;43;30;45;22;8;4;0;3;2
73;16;2;12;7;8;7;3;15;20
171;44;25;36;32;20;5;3;36;26
206;28;24;30;25;3;17;5;28;12
144;29;14;61;35;31;12;8;10;32
155;18;49;86;15;37;24;4;26;10
191;52;49;24;25;26;6;17;20;18
125;45;54;46;20;44;10;26;45;13
157;36;24;78;53;28;24;8;15;10
121;41;20;28;36;13;35;20;26;10
59;35;35;26;25;16;30;38;25;7
333;38;41;149;93;72;26;52;35;22
145;18;15;95;66;24;29;27;25;5
208;51;28;34;65;65;22;86;34;6
174;31;23;76;61;24;20;57;28;17
128;28;31;47;79;42;64;76;43;8
190;53;17;76;63;58;41;42;46;41
228;46;32;102;164;72;54;67;55;22
149;37;46;44;93;53;69;41;24;30
181;43;45;55;173;10;57;63;47;38
131;51;24;37;95;36;61;51;59;25
227;58;29;43;192;22;73;48;56;82
158;38;19;54;144;150;96;38;58;57
168;37;34;42;171;133;67;60;62;63
181;53;48;38;109;78;114;55;83;57
138;41;28;37;72;14;54;60;92;30
129;28;45;73;75;25;51;50;49;38
161;49;87;33;158;54;92;51;153;47
121;17;71;53;101;71;58;60;119;90
128;55;101;31;109;95;71;52;69;60
150;8;71;49;132;74;42;50;138;95
146;62;86;33;127;39;73;34;124;120
115;29;64;45;118;48;56;25;108;97
120;38;46;47;64;52;42;19;38;82
140;21;46;37;89;24;53;23;92;57
73;23;51;7;36;95;22;21;36;37
91;10;42;7;31;27;35;28;21;39
71;3;16;5;35;17;21;23;24;21
61;1;10;2;27;8;15;14;20;43
19;11;8;0;26;1;6;4;6;24
16;2;5;0;8;4;4;6;15;12
11;0;3;1;5;28;5;4;19;21
17;4;0;0;4;13;0;3;6;8
14;1;1;2;5;23;2;3;12;6
13;0;1;1;10;2;0;3;1;6
22;1;0;1;8;1;0;4;12;2
42;0;2;1;2;2;0;1;2;4
4;3;1;2;8;3;1;3;0;5
18;5;1;2;8;4;7;1;4;8
6;5;3;0;11;32;10;13;8;9
10;7;4;2;15;2;9;12;4;6
60;9;9;7;12;16;17;18;5;19
103;2;11;1;10;71;16;22;24;7
31;10;11;3;25;8;2;24;12;42
103;2;11;1;10;71;16;22;24;7
44;12;22;0;7;88;17;68;35;15
91;16;42;28;41;50;17;36;41;37
83;16;28;5;52;24;12;44;22;47
111;30;63;12;44;5;12;31;19;33
91;40;86;19;31;15;40;50;17;29
163;42;41;11;86;7;20;27;32;58
28;52;32;1;81;27;68;27;39;37
106;36;140;12;77;20;36;73;41;87
291;41;86;11;248;20;101;64;72;66
185;91;41;11;36;2;21;124;20;43
197;48;44;16;218;157;46;75;30;41
147;18;61;8;58;53;63;38;32;23
192;29;38;16;55;37;56;69;43;43
190;37;121;7;113;41;92;53;25;104
147;20;66;4;122;29;64;68;58;66
131;37;69;3;59;42;104;44;46;50
149;43;47;1;66;17;60;68;49;27
99;6;16;7;46;9;68;63;19;23
233;38;119;6;124;74;116;69;95;87
146;28;49;3;74;40;83;86;60;39
182;21;67;3;73;81;64;46;45;55
68;14;50;2;8;48;41;140;50;25
180;27;90;15;134;39;79;76;41;76
142;24;31;5;88;41;79;48;41;71
80;2;26;2;33;3;43;68;35;17
194;11;77;8;81;40;104;81;65;19
286;16;77;14;26;34;67;79;87;32
129;11;49;21;26;18;119;102;53;44
93;2;43;8;150;9;60;82;51;12
199;16;127;3;128;22;64;84;105;19
120;7;53;3;105;17;52;65;49;52
151;7;34;9;161;21;72;68;52;54
88;11;26;3;127;7;23;64;67;22
87;14;53;5;34;10;61;45;37;12
67;7;40;2;75;6;16;34;20;9
52;11;39;12;28;7;18;16;8;4
65;2;11;9;19;3;2;6;24;7
6;6;7;20;8;1;5;6;11;1
64;2;0;6;4;0;3;2;3;2
18;0;6;9;14;12;3;1;0;3
3;0;4;0;2;0;1;5;0;0
0;0;0;1;3;0;0;3;1;0
13;4;0;6;6;0;4;2;21;1
9;1;8;1;11;0;0;1;0;0
4;3;5;0;7;1;3;6;1;8
8;2;0;2;5;0;0;8;1;17
12;12;12;0;17;0;18;4;0;1
13;12;0;3;13;0;5;6;10;1
31;11;7;10;19;16;30;21;10;8
35;11;8;30;18;8;12;13;11;0
8;3;1;21;44;0;3;13;7;4
73;9;9;32;13;19;38;21;7;0
77;12;4;34;56;31;12;30;10;20
21;8;3;25;55;8;16;12;8;2
104;14;6;59;84;1;25;39;43;24
105;9;8;24;20;28;14;19;31;20
92;18;18;54;13;47;45;55;66;2
192;37;18;22;122;8;19;20;58;3
2;11;6;25;2;24;15;22;41;0
67;47;7;35;77;0;15;47;120;28
283;34;8;61;156;57;92;93;115;17
135;54;28;22;50;1;22;40;113;28
129;22;5;20;47;47;36;56;74;9
203;34;20;46;84;67;29;36;107;44
152;194;6;23;90;55;27;40;39;25
107;66;33;55;63;35;24;31;113;22
185;29;13;32;45;12;38;42;51;32
110;185;47;39;84;49;18;47;89;29
138;51;11;27;53;9;21;31;69;36
100;81;39;15;66;1;29;41;62;31
228;68;41;65;77;27;23;55;70;28
130;110;12;50;107;8;10;38;180;42
137;38;22;8;40;57;11;49;39;19
235;27;21;13;109;8;23;47;114;69
138;27;38;14;83;10;17;42;54;38
166;54;31;30;55;18;33;86;34;45
122;54;50;43;39;1;34;54;108;37
149;80;34;8;139;9;30;54;79;16
124;115;40;4;85;70;24;45;47;9
187;44;46;5;52;64;40;46;48;11
195;67;55;8;59;10;31;48;96;8
130;58;12;6;37;1;20;24;57;7
126;47;35;28;75;12;31;21;39;10
154;105;5;7;42;37;8;40;59;24
149;106;37;12;67;78;32;27;65;15
106;35;22;70;15;13;17;10;9;4
151;30;28;14;54;19;11;30;25;26
100;11;22;1;81;1;6;8;61;10
91;36;11;8;17;2;1;30;15;14
46;84;8;5;7;35;3;10;4;7
38;10;16;3;20;0;5;1;5;5
13;0;0;2;3;41;0;0;10;9
22;0;3;0;2;16;2;1;1;2
33;1;9;3;6;3;0;6;0;2
9;1;0;0;8;11;3;3;0;0
14;1;1;1;13;0;0;20;8;0
48;0;3;1;3;1;1;1;2;4
7;3;5;1;3;2;11;8;2;2
18;2;9;8;9;1;1;18;1;2
6;22;0;0;4;9;12;13;12;1
21;15;1;1;17;9;3;8;2;11
30;26;10;7;31;19;25;26;20;20
21;9;1;11;13;28;8;10;33;35
79;18;8;4;16;15;14;82;19;66
64;5;14;11;71;22;48;40;32;49
55;24;8;8;37;2;13;21;32;20
18;14;3;19;80;10;32;53;39;18
101;20;14;10;44;20;7;39;26;64
63;30;30;11;81;16;38;40;37;21
59;44;35;23;84;59;37;42;19;82
6;3;0;0;3;0;1;0;3;1
26;27;1;1;49;0;37;43;29;18
150;49;4;4;205;48;47;81;112;22
80;50;41;4;73;69;61;59;54;84
82;19;72;13;40;12;44;14;34;40
58;24;41;24;76;67;24;34;40;27
84;43;14;14;66;47;28;9;7;23
59;31;1;26;76;77;18;66;38;30
60;29;72;21;114;73;71;56;26;50
116;40;36;30;104;56;23;52;55;14
99;53;51;41;103;61;78;52;39;6
112;48;77;20;121;1;25;55;59;53
197;49;21;50;134;112;34;85;64;32
116;60;34;58;185;54;54;50;97;31
215;51;68;54;72;144;46;35;48;66
82;21;157;26;109;61;41;62;87;43
155;31;38;56;107;57;47;15;92;32
80;21;25;6;22;21;1;23;9;18
13;10;5;0;0;3;0;7;0;4
70;67;40;59;76;44;88;34;93;31
391;35;274;62;109;20;42;87;165;77
178;23;48;9;133;30;22;14;176;96
124;35;80;74;79;14;74;41;57;100
235;17;85;27;158;72;20;33;36;38
88;4;0;8;17;29;7;37;30;70
187;27;177;11;63;35;60;21;43;76
140;20;84;8;106;4;14;9;40;48
111;19;25;4;7;31;15;28;12;11
72;27;17;5;81;8;16;7;15;40
75;4;25;3;14;17;11;5;27;33
44;7;10;2;18;2;1;7;9;12
40;0;12;7;22;93;3;6;2;8
37;5;8;0;7;57;4;4;17;1
10;2;2;4;3;25;3;5;9;12
6;4;1;1;0;34;6;3;2;1
7;3;1;7;1;0;1;5;4;0
5;0;0;0;1;1;3;0;1;2
10;2;0;0;3;0;3;1;1;0
11;4;0;1;1;0;2;3;4;3
16;4;1;1;2;7;3;5;3;0
20;4;2;0;3;3;7;3;4;1
17;10;0;1;3;1;18;1;1;0
21;1;0;1;4;0;20;17;3;0
34;12;3;26;9;1;22;3;1;3
28;7;1;2;13;2;13;11;3;1
44;4;7;0;16;0;18;11;11;1
33;5;10;0;29;3;20;7;3;1
85;15;26;7;14;3;28;13;9;3
16;15;14;2;3;0;9;23;6;0
95;12;41;6;39;0;16;15;14;10
43;39;31;10;34;3;2;30;25;19
35;7;15;0;0;0;7;7;4;2
30;23;8;0;11;4;1;9;10;17
259;42;49;32;38;15;11;98;61;38
